u_g g_r r_i i_z classe
-0.0790000000000006 0.135999999999999 0.233000000000001 0.0459999999999994 1
0.0330000000000013 0.254999999999999 0.454000000000001 0.300000000000001 1
0.109999999999999 0.425000000000001 0.221 -0.158000000000001 1
0.324999999999999 0.448 0.114000000000001 0.221 1
0.219999999999999 0.0489999999999995 0.189 0.0399999999999991 1
0.170999999999999 0.104000000000003 0.168999999999997 0.188000000000002 1
0.265999999999998 -0.0539999999999985 0.0689999999999991 0.0449999999999982 1
-0.0779999999999994 0.248999999999999 0.105 -0.233000000000001 1
0.238 0.166 -0.0400000000000027 0.0839999999999996 1
0.329000000000001 0.149999999999999 0.460000000000001 0.125 1
0.118000000000002 0.0440000000000005 0.164999999999999 -0.0429999999999993 1
0.162000000000003 0.0640000000000001 0.334 0.0789999999999971 1
0.652999999999999 0.222000000000001 0.119 0.0899999999999999 1
0.428999999999998 0.459 -0.0129999999999981 0.0159999999999982 1
0.271999999999998 0.0530000000000008 0.217000000000002 0.0319999999999965 1
0.23 0.195 -0.0910000000000011 -0.0539999999999985 1
0.346999999999998 0.0760000000000005 -0.088000000000001 0.172000000000001 1
0.763999999999999 0.521000000000001 0.0329999999999977 0.0380000000000003 1
0.163999999999998 0.105 0.307000000000002 0.117999999999999 1
0.465999999999998 0.451000000000001 0.0530000000000008 0.0279999999999987 1
0.138999999999999 0.0670000000000002 0.155999999999999 -0.125999999999998 1
-0.0509999999999984 0.409999999999997 0.0390000000000015 -0.175000000000001 1
0.366000000000003 -0.187000000000001 0.530999999999999 0.291 1
0.128 0.190000000000001 -0.00799999999999912 0.0999999999999979 1
0.195 0.0339999999999989 0.220000000000002 0.165999999999997 1
-0.219999999999999 0.312999999999999 0.111000000000001 -0.224999999999998 1
0.203000000000003 0.209 0.041999999999998 0.0970000000000013 1
0.736000000000001 0.503999999999998 0.219000000000001 0.631 1
0.331 0.148 0.206 0.219000000000001 1
0.215 0.158999999999999 -0.00799999999999912 0.0650000000000013 1
4.662 1.382 0.260000000000002 0.324999999999999 1
0.631 0.597999999999999 0.139000000000003 0.573999999999998 1
1.032 0.0300000000000011 0.0829999999999984 0.372 1
3.966 1.792 0.311999999999998 0.414000000000001 1
0.264999999999997 0.0870000000000033 -0.0140000000000029 -0.0569999999999986 1
1.044 0.0530000000000008 -0.0949999999999989 0.175999999999998 1
0.311 0.391000000000002 0.212999999999997 -0.00599999999999667 1
0.369 0.271000000000001 0.113999999999997 0.0240000000000009 1
0.233000000000001 0.323999999999998 0.218 -0.0139999999999993 1
0.315999999999999 0.553999999999998 0.353000000000002 0.437000000000001 1
0.564 0.113999999999997 0.0180000000000007 0.214000000000002 1
0.135999999999999 0.261000000000003 0.0859999999999985 0.088000000000001 1
-0.0619999999999976 -0.0150000000000006 0.329999999999998 0.112000000000002 1
0.376999999999999 0.492000000000001 0.460999999999999 0.0800000000000018 1
0.294 0.364000000000001 0.0860000000000021 0.579999999999998 1
0.203999999999997 0.105 0.263000000000002 0.190000000000001 1
0.482000000000003 -0.083000000000002 0.205000000000002 0.189 1
0.314999999999998 0.315000000000001 0.280999999999999 0.225000000000001 1
0.108000000000001 0.289999999999999 0.149000000000001 -0.0829999999999984 1
0.234999999999999 0.187000000000001 0.0959999999999965 0.242000000000001 1
0.34 0.0160000000000018 0.154 -0.0309999999999988 1
0.536000000000001 0.125999999999998 0.295000000000002 0.0739999999999981 1
-0.158999999999999 0.305 0.122 0.054000000000002 1
0.325000000000003 -0.022000000000002 0.148 0.400000000000002 1
0.0110000000000028 0.143999999999998 0.297000000000001 0.122 1
0.224 0.143999999999998 0.0489999999999995 -0.0219999999999985 1
0.48 0.152000000000001 0.251999999999999 0.297000000000001 1
0.338000000000001 0.122999999999998 0.231999999999999 0.100000000000001 1
0.106000000000002 0.254000000000001 0.285 0.189999999999998 1
-0.245999999999999 0.303999999999998 0.0620000000000012 -0.0139999999999993 1
0.0890000000000022 0.212 -0.0670000000000002 0.0760000000000005 1
0.295000000000002 0.0449999999999982 0.260000000000002 0.105 1
0.146000000000001 0.161000000000001 0.25 0.187999999999999 1
0.102 0.275000000000002 0.110999999999997 -0.0380000000000003 1
0.270999999999997 -0.0519999999999996 0.193000000000001 0.0279999999999987 1
0.0259999999999998 -0.0519999999999996 0.210999999999999 0.645 1
3.228 0.965 0.111999999999998 -0.0579999999999998 1
0.137999999999998 0.282 0.366 -0.0889999999999986 1
-0.000999999999997669 0.0700000000000003 0.369 -0.157 1
0.0509999999999984 -0.0670000000000002 0.241 0.0130000000000017 1
0.258000000000003 0.166 -0.078000000000003 0.0530000000000008 1
0.0169999999999995 0.299000000000003 0.0249999999999986 -0.0410000000000004 1
0.609999999999999 0.205000000000002 0.0809999999999995 0.0899999999999999 1
0.198 0.280999999999999 -0.0579999999999998 0.0680000000000014 1
0.0450000000000017 0.113 0.0599999999999987 0.552 1
0.134 0.198 0.00900000000000034 -0.0549999999999997 1
0.512 0.0480000000000018 0.107999999999997 0.263000000000002 1
0.161999999999999 0.255000000000003 0.0179999999999971 -0.0629999999999988 1
0.240000000000002 0.290999999999997 0.110000000000003 -0.0850000000000009 1
0.387 0.260999999999999 0.0809999999999995 0.222000000000001 1
0.207000000000001 0.106999999999999 -0.100999999999999 0.140000000000001 1
0.262999999999998 0.0960000000000001 0.129999999999999 -0.0299999999999976 1
-0.0680000000000014 -0.0299999999999976 0.282999999999998 0.211000000000002 1
-0.0650000000000013 -0.00300000000000011 0.0590000000000011 0.18 1
0.535 0.190999999999999 0.0450000000000017 0.111000000000001 1
0.209 0.149999999999999 0.0850000000000009 -0.158999999999999 1
0.0930000000000035 0.465999999999998 0.0440000000000005 -0.0970000000000013 1
0.663 0.184999999999999 0.334 0.0700000000000003 1
0.834 0.522000000000002 0.690999999999999 -0.0590000000000011 1
0.577999999999999 0.243000000000002 0.428999999999998 0.298000000000002 1
0.192999999999998 0.25 -0.123999999999999 0.0229999999999997 1
1.147 0.260999999999999 0.123000000000001 -0.103999999999999 1
0.117999999999999 0.0420000000000016 0.291999999999998 0.115000000000002 1
0.582000000000001 0.146999999999998 0.0620000000000012 0.236000000000001 1
0.256 0.0310000000000024 0.233999999999998 -0.0180000000000007 1
0.391999999999999 0.559999999999999 0.16 -0.0249999999999986 1
-0.00300000000000011 0.427 0.0109999999999992 -0.0799999999999983 1
0.451000000000001 0.102 -0.0250000000000021 0.273 1
4.157 1.545 0.202999999999999 0.191000000000003 1
0.439999999999998 0.117000000000001 -0.242000000000001 0.504000000000001 1
0.224 0.0829999999999984 0.0360000000000014 0.606999999999999 1
0.616000000000003 0.212999999999997 0.289000000000001 0.125999999999998 1
0.0649999999999977 0.417000000000002 0.0790000000000006 -0.222000000000001 1
3.204 1.083 0.121000000000002 0.0969999999999978 1
0.417999999999999 0.175000000000001 0.18 0.184000000000001 1
0.309000000000001 0.0769999999999982 -0.0210000000000008 0.219000000000001 1
0.59 0.204000000000001 0.280999999999999 0.238000000000003 1
3.22 1.176 0.0949999999999989 0.263999999999999 1
0.163999999999998 0.283000000000001 0.350999999999999 -1.085 1
5.331 1.178 0.0609999999999999 0.251000000000001 1
0.0800000000000018 0.134999999999998 0.00400000000000134 0.0960000000000001 1
0.239000000000001 0.387 0.0869999999999997 0.120000000000001 1
0.143000000000001 0.166 0.239000000000001 0.0109999999999992 1
0.00499999999999901 0.229000000000003 0.204999999999998 -0.0640000000000001 1
0.577999999999999 0.370000000000001 0.407 0.046999999999997 1
1.357 0.197000000000003 -0.022000000000002 0.0920000000000023 1
0.116000000000003 0.000999999999997669 0.214000000000002 0.0629999999999988 1
0.309999999999999 0.132999999999999 0.128 -0.0120000000000005 1
0.0869999999999997 0.104999999999997 0.283000000000001 -0.169999999999998 1
0.791999999999998 0.137 -0.00499999999999901 0.113 1
0.900000000000002 0.291 0.294999999999998 0.384 1
0.390999999999998 0.184000000000001 -0.0380000000000003 0.191000000000003 1
3.255 0.944000000000003 0.170999999999999 0.0779999999999994 1
0.0739999999999981 0.00100000000000122 0.0649999999999977 0.312000000000001 1
0.460999999999999 0.154 0.446999999999999 -0.186 1
0.220999999999997 0.0290000000000035 0.199999999999999 0.152999999999999 1
0.272000000000002 0.138999999999999 0.245000000000001 0.0949999999999989 1
0.189999999999998 0.348000000000003 0.262 -0.0710000000000015 1
0.269000000000002 -0.0550000000000033 0.447000000000003 0.445999999999998 1
0.251999999999999 0.201000000000001 -0.0680000000000014 0.293000000000003 1
0.103000000000002 0.248999999999999 0.00900000000000034 -0.173000000000002 1
0.216000000000001 0.183 -0.036999999999999 0.32 1
0.129999999999999 0.093 0.105 0.306000000000001 1
0.254999999999999 0.596 0.163999999999998 0.485000000000003 1
0.350000000000001 0.218 0.0500000000000007 0.177 1
0.0710000000000015 0.151 0.00199999999999889 -0.0730000000000004 1
0.187000000000001 0.263999999999999 0.146999999999998 0.102 1
0.340000000000003 0.252999999999997 0.0520000000000032 0.128999999999998 1
0.620000000000001 0.0809999999999995 0.0640000000000001 0.224 1
0.0770000000000017 -0.0600000000000023 0.208000000000002 0.138999999999999 1
0.468 0.393000000000001 0.404 0.234999999999999 1
0.0800000000000018 0.172999999999998 -0.152999999999999 -0.145 1
0.178000000000001 0.115000000000002 0.148999999999997 -0.0559999999999974 1
0.606999999999999 0.334 0.0309999999999988 0.388000000000002 1
0.032 -0.0380000000000003 0.244 0.155000000000001 1
0.395 0.00900000000000034 0.0570000000000022 0.218 1
0.413999999999998 0.450000000000003 0.202999999999999 -0.161000000000001 1
0.583000000000002 0.236000000000001 0.289999999999999 0.0679999999999978 1
0.723000000000003 0.213999999999999 0.27 0.276 1
0.218 0.238 0.219999999999999 0.00500000000000256 1
0.587 0.702000000000002 0.276 -0.0350000000000001 1
0.204999999999998 0.224 -0.149999999999999 0.0180000000000007 1
0.238 -0.0359999999999978 0.195 0.0539999999999985 1
3.602 0.895 0.108000000000001 0.416 1
0.0329999999999977 0.054000000000002 0.25 0.102 1
0.432000000000002 0.329999999999998 0.247 0.193999999999999 1
0.387 -0.00600000000000023 0.407999999999998 0.209 1
0.279 0.307000000000002 -0.142000000000003 -0.041999999999998 1
0.027000000000001 0.291999999999998 0.120999999999999 -0.361999999999998 1
0.454000000000001 0.0339999999999989 0.205000000000002 0.172000000000001 1
0.410999999999998 0.161000000000001 0.144000000000002 -0.0150000000000006 1
0.496000000000002 0.0629999999999988 -0.0519999999999996 0.097999999999999 1
0.136999999999997 -0.00600000000000023 0.300000000000001 -0.032 1
0.512 0.0440000000000005 -0.0919999999999987 0.201000000000001 1
0.088000000000001 0.253999999999998 0.298000000000002 0.0139999999999993 1
0.0250000000000021 0.186 -0.100000000000001 0.0300000000000011 1
0.193999999999999 0.0829999999999984 0.252000000000002 -0.0110000000000028 1
0.460000000000001 0.358000000000001 -0.0289999999999999 0.126999999999999 1
